entidad,frecuencia
Felipe González,21
De Pedro,21
Marcelo D'Alessandro,20
Ernesto Tenembaum,20
Unión Soviética,20
PT,20
Marcelo Bonelli,20
Luis Petri,20
SUBE,20
Dilma Rousseff,20
Ocho,20
Susana Giménez,20
UIA,20
Carlitos,20
Viale,20
Carlos Heller,20
César,20
Jaime,20
Rafael Correa,20
G7,20
Seis,20
Dady Brieva,20
Sigan,20
Aclaro,20
López Obrador,20
Lázaro,20
Massa?,20
¿Les,20
Ana Iparraguirre,20
Juan Manuel López,20
Matías Kulfas,20
Lionel Messi,20
Roca,20
AstraZeneca,20
Los Kirchner,20
Margarita Stolbizer,20
Juan Carlos Maqueda,20
Jorge Capitanich,20
Libertador,20
Mussolini,20
Vieron,20
Hurlingham,20
Piñera,20
Milay,20
Aparecen,20
Supongo,20
Boca Juniors,20
Grecia,20
Polonia,20
Carla Vizzotti,20
Mauro Viale,20
Ortega,19
Marco Lavagna,19
New York Times,19
Recalde,19
Exactamente,19
Julián,19
Sube,19
Club de París,19
Sabes,19
Australia,19
Enseguida,19
Laura Alonso,19
Hacía,19
Andrés Manuel López Obrador,19
Claudio,19
Adolfo Pérez Esquivel,19
Fuerte,19
Mencionó,19
Ferraresi,19
Alguien,19
cuál,19
Llamó,19
Caracas,19
Comencemos,19
Lucas,19
Ministerio de Defensa,19
Cubría,19
Abrazo,19
Facultad de Derecho,19
continuación,19
Caribe,19
míralo,19
Egipto,19
Hayden Davis,19
Juan Pablo II,19
Fernando Henrique Cardoso,19
Telefónica,19
Jorge Brito,19
Juan Martín Mena,19
Días,19
valentía,19
Elizabeth Gómez Alcorta,19
Ariel,19
Pullaro,19
Capaz,19
La Corte Suprema,19
Janet Yellen,19
Juan Manuel Urtubey,19
Archivo de Log,19
Universidad de San Andrés,19
Carola,19
Entre,19
Tenían,19
Lindo,19
Comodoro Rivadavia,19
Clarísimo,19
Partido Popular,19
Poder Legislativo,19
Avenida de Mayo,19
Magnetto,19
Ramos Padilla,19
Pienso,19
Creemos,19
Asia,19
Javier Díaz,18
Hablaremos,18
Jefatura de Gabinete,18
Canal 13,18
Entrevistador,18
Manes,18
Escuche,18
Hebe de Bonafini,18
Nadie,18
Hijo,18
Ciccone,18
entregó,18
Centro,18
Carlos Saúl Menem,18
Gabriel Boric,18
Empieza,18
Graciela Camaño,18
Ofelia,18
Mitre,18
Maza,18
Alfonso,18
Gerardo,18
Adolf Hitler,18
Dualde,18
Sabés,18
Escuchamos,18
Hollywood,18
Jorge Bergoglio,18
La Constitución,18
Lacan,18
Gramática,18
Pablo Echarri,18
Banco Macro,18
Zabaleta,18
¿Puedo,18
Frigerio,18
Rúa,18
Información,18
Ahí está,18
Roberto Baratta,18
Fernández de Kirchner,18
Pepe,18
Debo,18
Ofelia Fernández,18
Daniel Ortega,18
Marcela Losardo,18
Jaldo,18
Vietnam,18
Holanda,18
Pablo Gerchunoff,18
López Rega,18
Triple A,18
Mumi,18
decían,18
Florida,18
Recuerden,18
Adorno,18
Carola Gil,18
provincia de Buenos Aires?,18
Escuchémosla,18
Madres,18
Reserva Federal,18
"Luis ""Toto"" Caputo",18
Florencio Varela,17
Ministerio del Interior,17
